"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2","0610007P14Rik",1391.9741618841,-0.0119693459062511,0.146540308569243,-0.0815869657499839,0.934975166562154,0.986544523419994
"3","0610009B22Rik",531.77341302187,0.275271369613086,0.18568486263478,1.48219311966907,0.138288916783148,0.564429443746274
"4","0610009L18Rik",31.5614086407061,-0.157460707178035,0.46909329400322,-0.334827954147341,0.737754872093825,0.947930606996674
"5","0610009O20Rik",2213.36966632559,-0.159121555617587,0.118883574633067,-1.33846314507743,0.180745506641884,0.62898702691866
"6","0610010B08Rik",766.415996527062,0.408312099835253,0.562288381419666,0.725275990427589,0.468282732121238,0.858236809517588
"7","0610010F05Rik",819.192913585252,0.208729734246085,0.164895328929934,1.26545140524296,0.205709557785239,0.665548045683467
"8","0610010K14Rik",1023.00519642516,0.169673759321935,0.205616025903446,0.825099753515864,0.409314959651403,0.822467059689167
"9","0610011F06Rik",281.439137968839,-0.0548077627319058,0.251263334477753,-0.218360292816888,0.827148400772461,0.965561627894942
"10","0610012G03Rik",761.837279087335,-0.141084600361415,0.222570924657135,-0.633887327819893,0.526154356188103,0.88169671066537
"11","0610030E20Rik",1379.82379679831,-0.153505297636631,0.15142644808961,-1.01373037516044,0.310711425878368,0.762090135393882
"13","0610037L13Rik",674.635793431013,-0.118076518108634,0.182787518708866,-0.64600794862562,0.518274207725969,0.8790091746814
"14","0610038B21Rik",15.0859028121425,-0.371754807601133,0.683173695241047,-0.550517560417457,0.581964435783383,0.902104986898865
"17","0610040B10Rik",34.450132264772,0.424088811167709,0.493060731414189,0.853671833008328,0.393286845056668,0.812394058197165
"21","1010001N08Rik",487.415799594332,0.158694371946803,0.28355153254195,0.559145938271518,0.576062125269899,0.900140371237321
"22","1110001J03Rik",338.371917643753,-0.245126584326418,0.306926398945582,-0.798457762150156,0.424604894818443,0.831265020979657
"23","1110002L01Rik",924.887258296449,-0.0885198973965841,0.189914384618155,-0.466142904620434,0.641113214354191,0.921964110984738
"24","1110004E09Rik",507.635010089673,0.0676946815196559,0.209618113487672,0.322655035953592,0.746956508323277,0.949652398626386
"25","1110004F10Rik",3811.67436141377,-0.0183320677346984,0.1058227170254,-0.17323593047156,0.862465982151993,0.97352138824251
"26","1110006O24Rik",22.9298709464631,-0.0163725148718681,0.524420763847691,-0.034085909103142,0.972808644863301,0.993872176192847
"27","1110007C09Rik",421.258607752522,-0.521160061952506,0.288221919925495,-1.80863232467995,0.0705081431587718,0.424187199268265
"28","1110008F13Rik",1843.69380416615,-0.202345102310937,0.180628826034272,-1.12015725241761,0.262646756709599,0.722967151843419
"29","1110008L16Rik",365.509045344843,0.013567695038327,0.204848923142372,0.0663208340832151,0.947122396539692,0.989708617153932
"30","1110008P14Rik",335.903230161034,-0.191847203333488,0.29039573924785,-0.660137803329419,0.509165401163394,0.878000189538825
"31","1110012L19Rik",693.028410810731,0.17559016488384,0.197800936782196,0.887426758902018,0.374849182114006,0.800267576294894
"34","1110019D14Rik",59.6244612394428,0.1369982835854,0.525278054987979,0.264297872422042,0.791550399572195,0.958009794193867
"35","1110020A21Rik",30.6064820555416,-0.135632529455792,0.528773909903555,-0.256768593983959,0.797357415766071,0.959344671684066
"39","1110032A03Rik",349.93630248987,-0.0626576021457464,0.225305875826821,-0.278284093532177,0.780794285578737,0.957637304139684
"40","1110032F04Rik",100.364193818001,-0.436664943101944,0.544105551504283,-0.798059465840049,0.424835982326972,0.831366394607604
"41","1110034G24Rik",307.18123740627,-0.100197094809788,0.270054806102219,-0.371000784284049,0.710636947559382,0.941212417410007
"43","1110037F02Rik",3020.9163273396,-0.058094674125703,0.126333623025825,-0.459871908374469,0.645608164890729,0.923051594589243
"44","1110038B12Rik",792.992371853516,0.248715834618624,0.225760583659511,1.10269155722743,0.270161134438718,0.729110848363237
"45","1110038F14Rik",712.624313872181,0.0222140826516656,0.196947122546,0.11264872143924,0.910309056730569,0.983033273503919
"46","1110046J04Rik",17.0163265801876,-0.34778686005398,0.665430789373758,-0.519857732487362,0.603162737087437,0.910393288722814
"47","1110051M20Rik",862.087368579412,0.00300066166535039,0.132682426999846,0.0223939458158279,0.982133709681351,0.995597770931403
"49","1110059E24Rik",1030.26022950814,0.0123010863389487,0.137149092649745,0.0896364120935217,0.928576148193925,0.984854564318687
"50","1110059G10Rik",400.188384420616,0.0363068080936746,0.212048977147254,0.170952832467904,0.86426085376166,0.974033058815515
"51","1110065P20Rik",451.840007926095,-0.0609468965488534,0.239487979709131,-0.254440879922084,0.799154972265305,0.959521352653231
"52","1190002F15Rik",95.8436738907911,-0.171816029183034,0.45683743806768,-0.377745761380101,0.705619469455751,0.938913823490879
"53","1190002N15Rik",3106.54213624951,-0.83638198300752,0.274451630076307,-3.04764600090415,0.00230641454162672,0.0617956927383503
"55","1190005I06Rik",40.5005154957802,0.827958824582763,0.702036729320994,1.37011132943731,0.170652151764756,0.61677793877863
"56","1190007I07Rik",101.11044651323,-0.134482261604179,0.358079303616756,-0.375575705073382,0.707232355164024,0.939188136315594
"57","1200014J11Rik",1804.4724575121,0.0243750876447736,0.0946066485996305,0.257815861211054,0.796549022731625,0.959102913528696
"58","1300002E11Rik",164.968338519527,-0.0166970037297556,0.293046765270994,-0.0574532854275292,0.95418411743057,0.99124607134151
"60","1500004A13Rik",30.9025472883691,-0.414880421332469,0.563941068895597,-0.731839078155182,0.464266794108237,0.856344329706214
"62","1500009L16Rik",337.629393126714,0.660263195665837,0.27595120723893,2.39510293884289,0.0166156997129768,0.201322167549808
"63","1500011B03Rik",543.414616916976,0.0614934006137193,0.20237708283669,0.303459244003451,0.761539902527923,0.952306464073041
"64","1500011K16Rik",138.997814805699,-0.335200738831095,0.332105062254107,-1.00882882071039,0.313056736482646,0.76339909870707
"65","1500012F01Rik",853.453041906592,0.0812201826237485,0.305985489525446,0.26585167724224,0.790353442118978,0.958009794193867
"67","1500015A07Rik",291.122137093971,-0.239904606922189,0.242333523744157,-0.989747983807035,0.322297315039843,0.770806460800147
"70","1500017E21Rik",20.683676369291,-0.707019414802407,0.654417217267215,-1.057513099299,0.290277479482665,0.747772422613441
"73","1600002H07Rik",721.338177727243,0.195419303299051,0.215964793043764,0.905492574903593,0.365204491739187,0.794776317066443
"74","1600002K03Rik",68.72744458287,-0.0382469752256331,0.382983406028428,-0.100707350111226,0.919782776496372,0.98406344090273
"76","1600012H06Rik",1272.21498847994,-0.222470861802334,0.119763192472468,-1.8575611436753,0.0632313607384424,0.400897945932106
"77","1600014C10Rik",505.71494706301,0.185064308365944,0.148242073822937,1.24758168447297,0.212184289277401,0.671016116920445
"82","1600020E01Rik",212.57920279956,0.113657366513025,0.278717705058806,0.407182607797861,0.683873874534089,0.934043288574448
"89","1700001C19Rik",17.8198153191808,-0.190378850191366,0.729305071277245,-0.304302722208072,0.760897271418739,0.952260594555934
