combat_D6_unique,DESeq2_D6_unique
NA,Nfib
NA,Nfil3
NA,Nipal4
NA,Nlrx1
NA,Nol3
NA,Npbwr1
NA,Npepl1
NA,Nr3c2
NA,Nsf
NA,Nudt17
NA,Obscn
NA,Ogdh
NA,Olfm2
NA,Opcml
NA,Oprl1
NA,Osbpl3
NA,Oxct1
NA,Oxsr1
NA,P4ha3
NA,Pacs2
NA,Paqr9
NA,Parp12
NA,Pawr
NA,Pbxip1
NA,Pcdhac2
NA,Pcnxl4
NA,Pcsk7
NA,Pcyox1
NA,Pcyt1a
NA,Pdha1
NA,Pdk4
NA,Pea15a
NA,Peg10
NA,Peg3
NA,Phc3
NA,Phf13
NA,Phf19
NA,Phka1
NA,Phkb
NA,Phykpl
NA,Pi15
NA,Pi4ka
NA,Pick1
NA,Pja2
NA,Pkp4
NA,Pla2g2f
NA,Plcb1
NA,Plcb4
NA,Pld2
NA,Plekha2
NA,Plekhb2
NA,Pln
NA,Pms1
NA,Pnma1
NA,Pnpla7
NA,Polr1a
NA,Pon2
NA,Ppapdc3
NA,Ppm1h
NA,Ppp1r12a
NA,Ppp1r3e
NA,Ppp1r3g
NA,Ppp2r2b
NA,Ppp2r5a
NA,Ppp4r1l-ps
NA,Pradc1
NA,Prdm16
NA,Prkcdbp
NA,Prkdc
NA,Prmt8
NA,Prrt2
NA,Prrt4
NA,Prune2
NA,Psip1
NA,Ptgr2
NA,Ptn
NA,Pygm
NA,R3hdm2
NA,Rab11fip5
NA,Rab33a
NA,Rab36
NA,Rab4a
NA,Rad23b
NA,Radil
NA,Raet1a
NA,Ralgapa2
NA,Rap1gds1
NA,Rapgefl1
NA,Rarb
NA,Rasa2
NA,Rbm20
NA,Rdh13
NA,Reck
NA,Reep3
NA,Retsat
NA,Rfng
NA,Rgag4
NA,Rgs20
NA,Rnf103
NA,Robo1
NA,Rock1
NA,Rpp25
NA,Rprm
NA,Rps6kb1
NA,Rragd
NA,Rtkn2
NA,Rtn4rl1
NA,Rusc2
NA,Samd8
NA,Sash1
NA,Sbf2
NA,Scaper
NA,Sdk2
NA,Setd3
NA,Setd7
NA,Sfi1
NA,Sfmbt2
NA,Sh2d2a
NA,Sh3gl2
NA,Shank3
NA,Shroom3
NA,Siae
NA,Sidt2
NA,Sipa1l2
NA,Skap1
NA,Ski
NA,Skida1
NA,Slc16a3
NA,Slc19a3
NA,Slc22a17
NA,Slc22a23
NA,Slc25a46
NA,Slc2a10
NA,Slc30a4
NA,Slc35e4
NA,Slc35f1
NA,Slc35g1
NA,Slc38a4
NA,Slc38a6
NA,Slc39a1
NA,Slc4a3
NA,Slc51a
NA,Slc6a13
NA,Slc8a2
NA,Smpd1
NA,Smpdl3a
NA,Snap91
NA,Snapin
NA,Snph
NA,Snx14
NA,Sorbs2
NA,Sowahc
NA,Sox6
NA,Spg11
NA,Spg21
NA,Spice1
NA,Spin4
NA,Spire1
NA,Srpx
NA,Ssh1
NA,Sspn
NA,Ssx2ip
NA,Stambpl1
NA,Stat1
NA,Stat5a
NA,Stat5b
NA,Stx11
NA,Suox
NA,Supt7l
NA,Susd1
NA,Susd5
NA,Svep1
NA,Svip
NA,Syngap1
NA,Synrg
NA,Sytl2
NA,Tacc1
NA,Taf4a
NA,Tal2
NA,Tbc1d10b
NA,Tbc1d23
NA,Tbc1d8
NA,Tceb3
NA,Tead1
NA,Tesc
NA,Tfb1m
NA,Tgfbi
NA,Th
NA,Tldc1
NA,Tle2
NA,Tln2
NA,Tm7sf3
NA,Tmc3
NA,Tmem115
NA,Tmem161a
NA,Tmem170b
NA,Tmem194
NA,Tmem194b
NA,Tmem28
NA,Tmx4
NA,Tnnc2
NA,Tnnt2
NA,Tpp1
NA,Tpra1
NA,Trabd
NA,Trap1
NA,Trim12c
NA,Trim35
NA,Trim55
NA,Trpv2
NA,Tsc22d2
NA,Tsc22d4
NA,Ttc38
NA,Ttc39aos1
NA,Ttl
NA,Ttll12
NA,Ttll7
NA,Ube4b
NA,Ubr2
NA,Ubxn2a
NA,Uevld
NA,Unc13b
NA,Ush1c
NA,Usp20
NA,Usp32
NA,Usp36
NA,Usp7
NA,Vash2
NA,Vmac
NA,Vps13a
NA,Vstm5
NA,Vwa5b2
NA,Wdr17
NA,Wdr78
NA,Wscd2
NA,Xk
NA,Xpo6
NA,Xxylt1
NA,Xylt1
NA,Ydjc
NA,Zbtb20
NA,Zbtb25
NA,Zbtb44
NA,Zfand2b
NA,Zfhx3
NA,Zfp318
NA,Zfp354a
NA,Zfp40
NA,Zfp521
NA,Zfp607
NA,Zfp651
NA,Zfp687
NA,Zfp809
NA,Zfp955a
NA,Zkscan4
NA,Zmynd10
NA,Zranb3
NA,Zxdc
NA,Zzef1
NA,Zzz3
