combat_D8_unique,DESeq2_D8_unique
NA,Rnf208
NA,Rnf225
NA,Rnf6
NA,Rnmt
NA,Romo1
NA,Rpl10a
NA,Rpl12
NA,Rpl13a
NA,Rpl15
NA,Rpl17
NA,Rpl18a
NA,Rpl19
NA,Rpl22
NA,Rpl23
NA,Rpl23a
NA,Rpl29
NA,Rpl34
NA,Rpl36a
NA,Rps16
NA,Rps18
NA,Rps19
NA,Rps2
NA,Rps21
NA,Rps23
NA,Rps28
NA,Rps4x
NA,Rps5
NA,Rps6ka4
NA,Rps7
NA,Rps8
NA,Rps9
NA,Rraga
NA,Rsph3b
NA,Rundc3b
NA,Runx3
NA,Ryr2
NA,Ryr3
NA,Sar1b
NA,Sbsn
NA,Scd2
NA,Scn4a
NA,Scube2
NA,Sdhb
NA,Sec31b
NA,Sema4b
NA,Sept10
NA,Sepw1
NA,Serinc3
NA,Serpinb6b
NA,Serpinb9b
NA,Setd6
NA,Sgcd
NA,Sgms1
NA,Sh2d4a
NA,Sh3bgrl2
NA,Shisa3
NA,Shroom2
NA,Siah2
NA,Sidt2
NA,Sigmar1
NA,Sil1
NA,Sirt2
NA,Slc1a3
NA,Slc20a2
NA,Slc25a19
NA,Slc25a42
NA,Slc27a4
NA,Slc2a3
NA,Slc31a1
NA,Slc35f5
NA,Slc37a4
NA,Slc38a10
NA,Slc39a8
NA,Slc41a1
NA,Slc50a1
NA,Slc7a7
NA,Slco2a1
NA,Smim3
NA,Smpd1
NA,Snd1
NA,Snrnp25
NA,Snx3
NA,Snx7
NA,Sorcs3
NA,Spg21
NA,Spidr
NA,Spock2
NA,Spsb2
NA,Srrm4
NA,Ssh2
NA,Ssr3
NA,Stard13
NA,Stc2
NA,Steap1
NA,Stx16
NA,Sugt1
NA,Susd6
NA,Syngr1
NA,Synpo2l
NA,Tab3
NA,Taf1d
NA,Taf4b
NA,Tango2
NA,Tarsl2
NA,Tbc1d2b
NA,Tbc1d8b
NA,Tbl1x
NA,Tbl2
NA,Tbx5
NA,Tec
NA,Tex264
NA,Tfeb
NA,Thbs3
NA,Them6
NA,Timm10
NA,Timm10b
NA,Timm8a1
NA,Timm8b
NA,Timmdc1
NA,Tlcd1
NA,Tlcd2
NA,Tlr5
NA,Tmed10
NA,Tmed3
NA,Tmed9
NA,Tmem101
NA,Tmem102
NA,Tmem147
NA,Tmem151a
NA,Tmem161a
NA,Tmem196
NA,Tmem205
NA,Tmem214
NA,Tmem256
NA,Tmem38a
NA,Tmem41a
NA,Tmem59
NA,Tmem60
NA,Tmem63a
NA,Tmem70
NA,Tmx2
NA,Tnfrsf12a
NA,Tnfrsf19
NA,Tnnc1
NA,Tns1
NA,Tomm40
NA,Tpd52
NA,Tpi1
NA,Tpp1
NA,Tppp3
NA,Trappc12
NA,Trappc6a
NA,Trim11
NA,Trim3
NA,Trim63
NA,Trip10
NA,Trit1
NA,Trmt2b
NA,Trp53inp2
NA,Trpc1
NA,Tsc22d4
NA,Tspan5
NA,Tspan7
NA,Ttc12
NA,Ttc39aos1
NA,Ttc39b
NA,Txn2
NA,Txndc11
NA,Uap1l1
NA,Uba1
NA,Ube2o
NA,Upk3b
NA,Uqcc1
NA,Uqcrq
NA,Urgcp
NA,Usp24
NA,Vapb
NA,Vmp1
NA,Vps13d
NA,Wars2
NA,Wfikkn2
NA,Wisp1
NA,Wt1
NA,Wwox
NA,Zak
NA,Zbtb4
NA,Zc3h6
NA,Zdhhc12
NA,Zdhhc9
NA,Zfp106
NA,Zfp395
NA,Zfp617
NA,Zfyve26
NA,Znfx1
NA,Zswim5
