combat_D8_unique,DESeq2_D8_unique
Htr7,0610012G03Rik
Nlrp4a,1110001J03Rik
Ptprv,1500011K16Rik
NA,1600012H06Rik
NA,2010107E04Rik
NA,2010204K13Rik
NA,2500002B13Rik
NA,2610507B11Rik
NA,2810006K23Rik
NA,3425401B19Rik
NA,4833412C05Rik
NA,5930403L14Rik
NA,9030617O03Rik
NA,A930005H10Rik
NA,A930024E05Rik
NA,Aaed1
NA,Abca3
NA,Abcf3
NA,Abhd14a
NA,Abhd17c
NA,Acat1
NA,Ackr3
NA,Acot2
NA,Acss2
NA,Adamts19
NA,Adamts6
NA,Adi1
NA,Adm2
NA,Adora1
NA,Adora2b
NA,Agap1
NA,Agl
NA,AI413582
NA,AI464131
NA,Aimp1
NA,Akap1
NA,Alcam
NA,Aldh1l1
NA,Aldoa
NA,Alkbh3
NA,Amhr2
NA,Ankrd29
NA,Ankrd34a
NA,Anxa1
NA,Anxa11
NA,Anxa5
NA,Aox1
NA,Aox4
NA,Ap2a1
NA,Ap2a2
NA,Ap5s1
NA,Apba3
NA,Aph1a
NA,Apobec2
NA,Apoo
NA,Arfgap1
NA,Arhgap18
NA,Arhgap44
NA,Arhgef4
NA,Armcx3
NA,Arsa
NA,Arsg
NA,Asb10
NA,Asb12
NA,Ascc1
NA,Asxl2
NA,Atad3a
NA,Atcayos
NA,Atg2b
NA,Atg9a
NA,Atl1
NA,Atmin
NA,Atp5g2
NA,Atp5h
NA,Atp5j
NA,Atp5j2
NA,Atp5o
NA,Atp6ap1
NA,Atp6v0e
NA,Atp6v1c1
NA,Atp7b
NA,Atxn7l2
NA,B4galt4
NA,Bag2
NA,BC004004
NA,BC021891
NA,Bcam
NA,Bcar1
NA,Bckdk
NA,Bcl6
NA,Bcs1l
NA,Bend4
NA,Bhlhe40
NA,Bhlhe41
NA,Bnip3
NA,Bola3
NA,Brat1
NA,Bscl2
NA,Bst2
NA,Btg3
NA,C130046K22Rik
NA,C330013E15Rik
NA,C77370
NA,Camta1
NA,Canx
NA,Capn1
NA,Cav1
NA,Cbln3
NA,Cbx6
NA,Ccdc113
NA,Ccdc115
NA,Ccdc122
NA,Ccdc47
NA,Ccdc93
NA,Ccng2
NA,Cd59a
NA,Cd63
NA,Cd99l2
NA,Cda
NA,Cdk18
NA,Cdk5rap1
NA,Cdkl1
NA,Cdon
NA,Cds2
NA,Cecr5
NA,Cela1
NA,Celf2
NA,Chil1
NA,Chpf2
NA,Cited1
NA,Clasp1
NA,Clip1
NA,Cln6
NA,Cmtm7
NA,Cnn1
NA,Cnnm2
NA,Cntnap1
NA,Coa5
NA,Col4a2
NA,Col6a6
NA,Commd4
NA,Cops7a
NA,Coq3
NA,Coq6
NA,Cox5a
NA,Cox7a1
NA,Cox7a2
NA,Cox7c
NA,Cpox
NA,Cpt1b
NA,Cpt1c
NA,Creb3
NA,Creb5
NA,Creg2
NA,Crtap
NA,Csf1
NA,Ctgf
NA,Ctsb
NA,Cx3cl1
NA,Cxxc5
NA,Cyb5d2
NA,Cycs
NA,Cyp4f13
NA,Cyp4f16
NA,Cystm1
NA,D630045M09Rik
NA,Dag1
NA,Dap3
NA,Dapp1
NA,Dazap2
NA,Dcaf17
NA,Dcaf4
NA,Dcn
NA,Dcxr
NA,Def6
NA,Dennd4b
NA,Dhdh
NA,Dhx16
NA,Dnajc5
NA,Dpf1
NA,Dph1
NA,Dpm3
NA,Dpp3
NA,Dscr3
NA,Dynlt3
NA,Ech1
NA,Echdc1
NA,Echs1
NA,Eci1
NA,Ecm1
NA,Edem2
NA,Eef1b2
NA,Efcab2
NA,Efr3a
NA,Egfr
NA,Egln1
NA,Eif1b
NA,Eif2b4
NA,Eif2s3x
NA,Eif3e
NA,Eif3j1
NA,Elf4
NA,Elovl5
NA,Emc10
NA,Emc2
NA,Emc7
NA,Emc9
NA,Eml5
NA,Emp1
NA,Emp3
NA,Eogt
NA,Eomes
NA,Epb4.1l2
NA,Epha1
NA,Epn1
NA,Erbb3
NA,Erbb4
NA,Ergic3
NA,Erlec1
NA,Esrra
NA,Etfa
NA,Exoc4
NA,Extl3
NA,Ezr
NA,Fads3
NA,Fam129a
NA,Fam160a1
NA,Fam162a
NA,Fam169a
NA,Fam198b
NA,Fam46d
NA,Fam83g
NA,Fam98c
NA,Fastkd1
NA,Fbxl4
NA,Fbxl8
NA,Fbxo7
NA,Fez2
NA,Fgf23
NA,Fh1
NA,Fhl2
NA,Fig4
NA,Fkbp11
NA,Fkbp7
NA,Flrt3
NA,Fmr1nb
NA,Fosl2
NA,Foxred1
NA,Frmd8
NA,Frrs1
NA,Fstl3
NA,Fuca1
NA,Fuca2
NA,Fxyd1
NA,Fzd4
NA,G6pc3
NA,Gabarapl1
NA,Gabre
NA,Gadd45b
NA,Galk1
NA,Galt
NA,Gareml
NA,Gata4
NA,Gatb
NA,Gbas
NA,Gbp2
NA,Gde1
NA,Gfm2
NA,Ghdc
NA,Gid4
NA,Glo1
NA,Glrx
NA,Gltscr2
NA,Gm11110
NA,Gm12070
NA,Gm14288
NA,Gm14420
NA,Gm15772
NA,Gm6710
NA,Gmppa
NA,Gmpr2
NA,Gnb2l1
NA,Gnptg
NA,Got1l1
NA,Gpc4
NA,Gphn
NA,Gpm6a
NA,Gpr85
NA,Gpx1
NA,Gpx4
NA,Grip1
NA,Grsf1
NA,Gstt2
NA,Gtpbp8
NA,Gyg
NA,H2-Q4
NA,H2-Q5
NA,H2-T24
NA,Hacd1
NA,Hadh
NA,Hbs1l
NA,Hccs
NA,Hcn1
NA,Hdlbp
NA,Hes6
NA,Hexa
NA,Hibadh
NA,Higd1a
NA,Hint1
NA,Hmox1
NA,Hoxb3
NA,Hs3st6
NA,Hsd3b6
NA,Hsf4
NA,Hsp90ab1
NA,Hspa1l
NA,Hspb11
NA,Htr1b
NA,Htra1
NA,Hyal1
NA,Idh3a
NA,Ifi30
NA,Ifnar2
NA,Igbp1
NA,Igsf1
NA,Ikbip
NA,Ildr2
NA,Inf2
NA,Insig2
NA,Irf1
NA,Irs1
NA,Irx2
NA,Irx4
NA,Itm2b
NA,Jmjd6
NA,Jmy
NA,Jph1
NA,Kcnab3
NA,Kcnc3
NA,Kcng2
NA,Kcnj5
NA,Kcnq1
NA,Kdelr3
NA,Khsrp
NA,Kif1a
NA,Kif26b
NA,Klf15
NA,Klf6
NA,Klf9
NA,Kpna6
NA,Kremen1
NA,Krt19
NA,Kxd1
NA,Lacc1
NA,Lama4
NA,Laptm4a
NA,Larp1b
NA,Lclat1
NA,Lgals1
NA,Lgr4
NA,Litaf
NA,Lmf1
NA,Lmod3
NA,Lpcat4
NA,Lpin1
NA,Lrpprc
NA,Lrrc10
NA,Lrrc20
NA,Lrrc24
NA,Lsm10
NA,Lxn
NA,Lynx1
NA,Lyrm4
NA,Lyrm5
NA,Magi1
NA,Mamdc2
NA,Manba
NA,Maoa
NA,Map4
NA,Map6
NA,Mars2
NA,Mat2b
NA,Matn1
NA,Mbnl2
NA,Mbp
NA,Mcam
NA,Mdga1
NA,Mettl22
NA,Mettl5
NA,Mfap3l
NA,Mfn1
NA,Mgrn1
NA,Mical2
NA,Mical3
NA,Mief1
NA,Mien1
NA,Mif
NA,Minos1
NA,Mipep
NA,Mlf2
NA,Mnat1
NA,Morc4
NA,Mpc2
NA,Mpp2
NA,Mroh1
NA,Mrpl10
NA,Mrpl14
NA,Mrpl16
NA,Mrpl23
NA,Mrpl28
NA,Mrpl30
NA,Mrps23
NA,Mrps27
NA,Mrps30
NA,Mrps35
NA,Mrps36
NA,Mrps9
NA,Msl3
NA,Mthfsl
NA,Mto1
NA,Mvd
NA,Mxra7
NA,Myadm
NA,Mybph
NA,Myl1
NA,Myo1e
NA,Myo1h
NA,Naca
NA,Nacad
NA,Narfl
NA,Ncam1
NA,Ndrg2
NA,Ndufa12
NA,Ndufa7
NA,Ndufa9
NA,Ndufaf3
NA,Ndufaf7
NA,Ndufb10
NA,Ndufb11
NA,Ndufb4
NA,Ndufb6
NA,Ndufb8
NA,Ndufc2
NA,Ndufs8
NA,Ndufv3
NA,Nefl
NA,Neurl1a
NA,Nfia
NA,Ninj1
NA,Nipsnap1
NA,Nkiras1
NA,Nln
NA,Npc1
NA,Npepps
NA,Npl
NA,Nptn
NA,Nqo2
NA,Ntm
NA,Nucb1
NA,Nudt7
NA,Nudt8
NA,Nxph4
NA,Oaz1
NA,Ogdh
NA,Opa1
NA,Opn4
NA,Osbp
NA,Oxsr1
NA,P2rx4
NA,P2ry2
NA,P3h1
NA,P4hb
NA,Pabpc4
NA,Pacs1
NA,Palld
NA,Papss2
NA,Parp8
NA,Pcdhga10
NA,Pcgf5
NA,Pcyox1
NA,Pcyt2
NA,Pde1b
NA,Pde4a
NA,Pde7b
NA,Pdgfb
NA,Pdp2
NA,Pdpn
NA,Pdzd2
NA,Pebp1
NA,Perp
NA,Pgam1
NA,Pgk1
NA,Pgrmc2
NA,Phb
NA,Phospho1
NA,Pik3cb
NA,Pim2
NA,Pisd-ps1
NA,Pkn1
NA,Plaur
NA,Plcg2
NA,Pld2
NA,Plec
NA,Plgrkt
NA,Plxdc2
NA,Pmpca
NA,Pnkd
NA,Pnkp
NA,Pnpla3
NA,Pnpo
NA,Podn
NA,Pold4
NA,Polk
NA,Popdc3
NA,Porcn
NA,Ppap2c
NA,Ppapdc1b
NA,Ppard
NA,Ppfia4
NA,Ppil6
NA,Ppme1
NA,Ppp1cc
NA,Ppp1r3b
NA,Prdm16
NA,Prdx3
NA,Prdx5
NA,Prelid2
NA,Prep
NA,Prkab2
NA,Proser2
NA,Prune2
NA,Psmb10
NA,Psrc1
NA,Ptdss2
NA,Ptges2
NA,Ptgs2
NA,Ptp4a3
NA,Ptprm
NA,Pus1
NA,Qpct
NA,Rab12
NA,Rab3gap1
NA,Rab3gap2
NA,Rab6b
NA,Rad51d
NA,Rapgef3
NA,Rara
NA,Rassf1
NA,Rassf8
NA,Rbbp7
NA,Rbl2
NA,Rbm20
NA,Rbp4
NA,Rbpms2
NA,Rcor2
NA,Rec8
NA,Repin1
NA,Rhbdd1
NA,Rhobtb1
NA,Rhpn2
NA,Rilpl1
NA,Rint1
