"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2","0610007P14Rik",1391.9741618841,0.126109013761394,0.1559809581185,0.811105500892044,0.417305087117956,1
"3","0610009B22Rik",531.77341302187,0.025241999056438,0.181599881552776,0.137838408509614,0.890368128468318,1
"4","0610009L18Rik",31.5614086407061,-0.392708838070569,0.480631970864394,-0.813826624780025,0.415744280141773,1
"5","0610009O20Rik",2213.36966632559,-0.0904650065862548,0.120706128557415,-0.749383425805088,0.453626137744162,1
"6","0610010B08Rik",766.415996527062,-0.585773833805998,0.562333972760906,-1.03824349713169,0.299156706780848,1
"7","0610010F05Rik",819.192913585252,-0.0288409222364117,0.174522460427448,-0.164224470082976,0.869554438281831,1
"8","0610010K14Rik",1023.00519642516,0.0679113463701331,0.212699639753704,0.320613591537007,0.748503236398265,1
"9","0610011F06Rik",281.439137968839,-0.0655253797672041,0.235733988540571,-0.280021810756366,0.779460771452745,1
"10","0610012G03Rik",761.837279087335,-0.0488250189420884,0.220977635540853,-0.221263101263967,0.824887578870648,1
"11","0610030E20Rik",1379.82379679831,0.0254335659778491,0.151022543656063,0.168331511150705,0.866322485234067,1
"13","0610037L13Rik",674.635793431013,-0.0138887422891124,0.197671073954119,-0.0682441465169806,0.945591285023772,1
"14","0610038B21Rik",15.0859028121425,-0.295939936090492,0.670427202909099,-0.435265228305191,0.663369921031646,1
"16","0610039K10Rik",1.09852601809327,-0.317400033625707,0.512023727343929,-0.691734267433917,0.489104223009207,1
"17","0610040B10Rik",34.450132264772,-0.192997984719269,0.460154724286177,-0.421451497049921,0.673425421831047,1
"18","0610040F04Rik",1.63968117644993,-0.0450532055694621,0.584434390278807,-0.0621928333249333,0.950409269621611,1
"19","0610040J01Rik",5.65939946828515,1.14434792057851,0.742272109121194,1.45556786054436,0.145512118081506,1
"20","0610043K17Rik",2.55107682900876,-0.053314159554929,0.699764820123224,-0.0732910534747968,0.941574510847428,1
"21","1010001N08Rik",487.415799594332,0.0654981726592089,0.287115021430576,0.227883970680035,0.819736444433351,1
"22","1110001J03Rik",338.371917643753,0.0169126129507388,0.304914052907053,0.0545210225015342,0.956520059963757,1
"23","1110002L01Rik",924.887258296449,-0.108553837918408,0.19779167080035,-0.548218133326848,0.583542132452128,1
"24","1110004E09Rik",507.635010089673,0.104278523679057,0.212734780866654,0.489841834779347,0.624245824794742,1
"25","1110004F10Rik",3811.67436141377,-0.0142217704552746,0.108659918266587,-0.130503845527478,0.896167811872456,1
"26","1110006O24Rik",22.9298709464631,0.10036210909469,0.56880960547315,0.177839326382621,0.858849161616603,1
"27","1110007C09Rik",421.258607752522,-0.191229118053036,0.279350377892081,-0.684602779682401,0.493594612511667,1
"28","1110008F13Rik",1843.69380416615,-0.0949156051785578,0.187213200129133,-0.506329632133264,0.612625264312159,1
"29","1110008L16Rik",365.509045344843,-0.0857921597689136,0.204342144254493,-0.420131944219859,0.674389067770727,1
"30","1110008P14Rik",335.903230161034,-0.328796427025209,0.307435858653086,-1.06966793330147,0.284768805085804,1
"31","1110012L19Rik",693.028410810731,0.0526394360417424,0.195468786026555,0.268359087069412,0.788422928598226,1
"33","1110017D15Rik",1.14604368888299,-0.0383323069549975,0.606521756115501,-0.0624275392034362,0.950222364612554,1
"34","1110019D14Rik",59.6244612394428,-0.333591012881851,0.470714102346646,-0.700068208072295,0.483884708985338,1
"35","1110020A21Rik",30.6064820555416,0.612276083333506,0.577261985263446,1.10690719058663,0.268334056701278,1
"39","1110032A03Rik",349.93630248987,-0.254364676254563,0.213487362842467,-1.19188362910897,0.233306878146166,1
"40","1110032F04Rik",100.364193818001,0.0397656638473308,0.525953922333517,0.0705750045634324,0.943736004264057,1
"41","1110034G24Rik",307.18123740627,0.0102096470059811,0.251548064418362,0.0381532865446237,0.969565465690929,1
"43","1110037F02Rik",3020.9163273396,-0.00180541945256024,0.12752361870187,-0.0141307040978083,0.988725704570869,1
"44","1110038B12Rik",792.992371853516,0.0795298207399336,0.229837480828586,0.347767360657035,0.728014903808039,1
"45","1110038F14Rik",712.624313872181,0.0319376919712644,0.207259147624158,0.155543879445567,0.876392564062387,1
"46","1110046J04Rik",17.0163265801876,-0.139468297185719,0.642504201003376,-0.211320295747246,0.832637346793583,1
"47","1110051M20Rik",862.087368579412,-0.000592755666016018,0.132740013844889,-0.00520153297846742,0.995849795858598,1
