"","geneSymbol","cluster"
"228","9230114K14Rik",2
"229","9230116N13Rik",3
"230","9330117O12Rik",1
"231","9330133O14Rik",1
"232","9330158H04Rik",1
"233","9330159F19Rik",3
"234","9330182L06Rik",3
"235","9430015G10Rik",7
"236","9430020K01Rik",3
"237","9430021M05Rik",3
"238","9430083A17Rik",2
"239","9530053A07Rik",2
"240","9530068E07Rik",1
"241","9630013K17Rik",3
"242","9630028I04Rik",1
"243","9830147E19Rik",3
"244","9930014A18Rik",3
"245","9930021J03Rik",3
"246","9930104L06Rik",1
"247","A230072C01Rik",7
"248","A2m",4
"249","A330035P11Rik",2
"250","A330048O09Rik",1
"251","A330074K22Rik",4
"252","A430005L14Rik",3
"253","A430105I19Rik",4
"254","A4galt",3
"255","A530016L24Rik",1
"256","A630033H20Rik",1
"257","A830080D01Rik",3
"258","A830082N09Rik",7
"259","A930001C03Rik",3
"260","A930003A15Rik",3
"261","A930004D18Rik",6
"262","A930005H10Rik",4
"263","A930006K02Rik",3
"264","A930007I19Rik",3
"265","A930024E05Rik",2
"266","AA414768",1
"267","AA465934",1
"268","Aaas",3
"269","Aaed1",1
"270","Aak1",1
"271","Aamp",1
"272","Aar2",5
"273","Aard",3
"274","Aars",3
"275","Aasdh",3
"276","Aatf",3
"277","Aatk",1
"278","Abat",1
"279","Abca1",6
"280","Abca12",1
"281","Abca17",1
"282","Abca3",1
"283","Abca4",1
"284","Abca7",4
"285","Abca8b",4
"286","Abca9",3
"287","Abcb10",4
"288","Abcb1a",1
"289","Abcb1b",3
"290","Abcb6",5
"291","Abcb8",1
"292","Abcb9",1
"293","Abcc10",1
"294","Abcc3",1
"295","Abcc4",2
"296","Abcc5",3
"297","Abcc6",3
"298","Abcc8",6
"299","Abcc9",1
"300","Abcd1",1
"301","Abcd2",1
"302","Abcd3",9
"303","Abcd4",3
"304","Abcf1",5
"305","Abcf2",3
"306","Abcg1",6
"307","Abcg2",3
"308","Abcg8",8
"309","Abhd1",1
"310","Abhd11os",7
"311","Abhd12",9
"312","Abhd13",1
"313","Abhd14a",6
"314","Abhd14b",7
"315","Abhd16a",1
"316","Abhd17b",3
"317","Abhd2",2
"318","Abhd8",1
"319","Abi1",6
"320","Abi3",1
"321","Abl2",3
"322","Ablim1",1
"323","Abr",1
"324","Abra",1
"325","Abracl",8
"326","Abtb2",9
"327","Acaa1a",4
"328","Acaa2",1
"329","Acacb",1
"330","Acad11",4
"331","Acad12",4
"332","Acadl",1
"333","Acadm",1
"334","Acads",4
"335","Acadvl",1
"336","Acan",4
"337","Acap2",3
"338","Acap3",3
"339","Acat1",4
"340","Acbd3",1
"341","Acbd4",4
"342","Acbd5",1
"343","Acd",7
"344","Ace",1
"345","Acer2",1
"346","Acer3",4
"347","Ache",1
"348","Acin1",3
"349","Ackr1",7
"350","Aco1",3
"351","Aco2",1
"352","Acot11",4
"353","Acot13",4
"354","Acot6",5
"355","Acot7",6
"356","Acot8",1
"357","Acot9",3
"358","Acox1",1
"359","Acox3",4
"360","Acp5",1
"361","Acp6",6
"362","Acrbp",7
"363","Acsf2",1
"364","Acsf3",4
"365","Acsl1",9
"366","Acsl4",9
"367","Acsl5",1
"368","Acss1",1
"369","Acss2",1
"370","Acss3",5
"371","Acta1",9
"372","Acta2",9
"373","Actb",3
"374","Actc1",9
"375","Actg1",3
"376","Actg2",9
"377","Actl6a",3
"378","Actn1",9
"379","Actn2",1
"380","Actr10",1
"381","Actr1a",1
"382","Actr1b",1
"383","Actr2",1
"384","Actr3",1
"385","Actr3b",1
"386","Actr5",7
"387","Actr6",4
"388","Acvr1",6
"389","Acvr1b",1
"390","Acvr2b",3
"391","Acvrl1",4
"392","Acy1",5
"393","Acy3",4
"394","Acyp1",1
"395","Acyp2",4
"396","Adam10",1
"397","Adam11",4
"398","Adam12",1
"399","Adam15",1
"400","Adam1a",7
"401","Adam23",3
"402","Adam32",9
"403","Adam33",3
"404","Adam8",7
"405","Adamts1",1
"406","Adamts10",3
"407","Adamts12",9
"408","Adamts14",1
"409","Adamts20",3
"410","Adamts5",1
"411","Adamts6",4
"412","Adamts7",6
"413","Adamts9",1
"414","Adamtsl1",1
"415","Adamtsl2",1
"416","Adamtsl4",4
"417","Adamtsl5",6
"418","Adap1",4
"419","Adar",7
"420","Adarb1",1
"421","Adat1",7
"422","Adat2",3
"423","Adat3",7
"424","Adck3",6
"425","Adck5",3
"426","Adcy1",9
"427","Adcy2",3
"428","Adcy5",1
"429","Adcy6",1
"430","Adcy7",6
"431","Adcy8",3
"432","Adcy9",9
"433","Adcyap1",3
"434","Adcyap1r1",3
"435","Add3",9
"436","Adgra1",5
"437","Adgra2",3
"438","Adgra3",9
"439","Adgrb2",1
"440","Adgre5",1
"441","Adgrg2",9
"442","Adgrg6",1
"443","Adgrl3",1
"444","Adgrl4",1
"445","Adh5",3
"446","Adi1",3
"447","Adipor1",6
"448","Adipor2",1
"449","Adk",4
"450","Adm",1
"451","Adm2",6
"452","Ado",7
"453","Adora1",1
"454","Adora2a",4
"455","Adpgk",3
"456","Adprhl1",1
"457","Adprhl2",3
"458","Adra1b",6
"459","Adra1d",4
"460","Adrb3",2
"461","Adrbk1",8
"462","Adrbk2",1
"463","Adss",3
"464","Adssl1",9
"465","Aebp2",2
"466","Aen",3
"467","Aes",1
"468","AF529169",4
"469","Afap1l1",1
"470","Afap1l2",6
"471","Aff2",2
"472","Aff3",5
"473","Afg3l2",1
"474","Afmid",4
"475","Afp",4
"476","Aftph",7
"477","Aga",4
"478","Agap2",7
"479","Agap3",7
"480","Agbl2",1
"481","Agbl5",6
"482","Ager",3
"483","Agfg2",1
"484","Aggf1",2
"485","Agl",1
"486","Ago1",3
"487","Agpat1",9
"488","Agpat3",1
"489","Agpat5",1
"490","Agpat6",3
"491","Agpat9",8
"492","Agtpbp1",3
"493","Agtrap",1
"494","Ahctf1",3
"495","Ahcyl1",6
"496","Ahdc1",2
"497","Ahi1",3
"498","Ahsa2",1
"499","AI182371",1
"500","AI197445",3
"501","AI317395",4
"502","AI413582",9
"503","AI414108",3
"504","AI464131",4
"505","AI504432",3
"506","AI506816",7
"507","AI597479",7
"508","AI661453",2
"509","AI839979",9
"510","AI846148",7
"511","AI987944",4
"512","Aida",3
"513","Aifm1",4
"514","Aifm2",1
"515","Aig1",1
"516","Aim1",3
"517","Aim1l",3
"518","Aim2",3
"519","Airn",9
"520","Ajap1",3
"521","Ajuba",3
"522","Ak1",1
"523","Ak3",1
"524","Ak4",6
"525","Ak6",6
"526","Akap1",4
"527","Akap17b",5
"528","Akap2",9
"529","Akap6",9
"530","Akap7",3
"531","Akap8",3
"532","Akip1",6
"533","Akirin1",9
"534","Akirin2",9
"535","Akna",3
"536","Akr1a1",1
"537","Akr1b10",1
"538","Akr7a5",7
"539","Akt1",1
"540","Akt2",1
"541","Alad",7
"542","Alas1",1
"543","Alcam",1
"544","Aldh16a1",3
"545","Aldh18a1",3
"546","Aldh1a2",3
"547","Aldh1a3",1
"548","Aldh1b1",4
"549","Aldh1l1",2
"550","Aldh1l2",1
"551","Aldh2",3
"552","Aldh3a2",4
"553","Aldh3b1",6
"554","Aldh5a1",4
"555","Aldh6a1",5
"556","Aldh7a1",5
"557","Aldh9a1",3
"558","Aldoa",4
"559","Aldoart1",1
"560","Aldoc",6
"561","Alg1",9
"562","Alg10b",7
"563","Alg13",7
"564","Alg14",4
"565","Alg5",2
"566","Alg6",3
