"","geneSymbol","cluster"
"229","A930007I19Rik",3
"230","AA414768",4
"231","AA465934",7
"232","Aaas",3
"233","Aaed1",1
"234","Aak1",1
"235","Aamp",7
"236","Aard",3
"237","Aasdh",2
"238","Aatf",3
"239","Aatk",1
"240","Abat",4
"241","Abca1",6
"242","Abca12",1
"243","Abca17",1
"244","Abca3",4
"245","Abca4",1
"246","Abca5",2
"247","Abca7",4
"248","Abca8b",4
"249","Abca9",2
"250","Abcb10",4
"251","Abcb1a",1
"252","Abcb1b",2
"253","Abcb6",7
"254","Abcb8",1
"255","Abcb9",1
"256","Abcc1",2
"257","Abcc10",1
"258","Abcc3",1
"259","Abcc4",2
"260","Abcc5",5
"261","Abcc6",2
"262","Abcc9",1
"263","Abcd1",1
"264","Abcd2",1
"265","Abcd3",7
"266","Abcd4",5
"267","Abcf2",3
"268","Abcg1",6
"269","Abcg2",5
"270","Abcg8",8
"271","Abhd1",1
"272","Abhd11",4
"273","Abhd11os",3
"274","Abhd12",7
"275","Abhd13",1
"276","Abhd14a",6
"277","Abhd14b",3
"278","Abhd16a",4
"279","Abhd17a",4
"280","Abhd17b",5
"281","Abhd2",2
"282","Abhd8",1
"283","Abi1",6
"284","Abi3",4
"285","Abl2",5
"286","Ablim1",4
"287","Abr",1
"288","Abra",1
"289","Abracl",8
"290","Abtb2",1
"291","Acaa1a",4
"292","Acaa2",4
"293","Acacb",1
"294","Acad11",4
"295","Acad12",4
"296","Acadl",4
"297","Acadm",1
"298","Acads",4
"299","Acadvl",4
"300","Acap2",5
"301","Acap3",5
"302","Acat1",4
"303","Acbd3",1
"304","Acbd4",1
"305","Acbd5",4
"306","Acd",3
"307","Ace",4
"308","Acer2",7
"309","Acer3",4
"310","Ache",1
"311","Acin1",5
"312","Ackr1",5
"313","Aco1",5
"314","Aco2",4
"315","Acot11",4
"316","Acot13",4
"317","Acot6",7
"318","Acot7",6
"319","Acot8",1
"320","Acot9",2
"321","Acox1",1
"322","Acox3",4
"323","Acp5",1
"324","Acp6",6
"325","Acrbp",5
"326","Acsf2",1
"327","Acsl1",1
"328","Acsl4",7
"329","Acsl5",4
"330","Acss1",4
"331","Acss2",1
"332","Acss3",6
"333","Acta1",7
"334","Acta2",7
"335","Actb",5
"336","Actc1",1
"337","Actg1",5
"338","Actl6a",3
"339","Actn1",7
"340","Actn2",1
"341","Actr10",4
"342","Actr1a",4
"343","Actr1b",1
"344","Actr2",4
"345","Actr3",1
"346","Actr3b",1
"347","Actr5",3
"348","Actr6",4
"349","Acvr1",4
"350","Acvr1b",1
"351","Acvr2b",5
"352","Acvrl1",4
"353","Acy1",7
"354","Acy3",4
"355","Acyp1",4
"356","Acyp2",4
"357","Adam10",1
"358","Adam11",4
"359","Adam12",1
"360","Adam15",1
"361","Adam1a",5
"362","Adam33",5
"363","Adam8",3
"364","Adamts1",1
"365","Adamts12",7
"366","Adamts14",4
"367","Adamts20",5
"368","Adamts5",1
"369","Adamts6",4
"370","Adamts9",1
"371","Adamtsl1",4
"372","Adamtsl2",1
"373","Adamtsl4",4
"374","Adamtsl5",9
"375","Adap1",4
"376","Adar",5
"377","Adarb1",4
"378","Adat1",3
"379","Adat2",5
"380","Adat3",5
"381","Adck3",6
"382","Adck5",5
"383","Adcy1",7
"384","Adcy2",5
"385","Adcy5",1
"386","Adcy6",1
"387","Adcy7",9
"388","Adcy8",8
"389","Adcy9",7
"390","Adcyap1",5
"391","Adcyap1r1",5
"392","Add3",7
"393","Adgra2",5
"394","Adgra3",7
"395","Adgrb2",1
"396","Adgre5",1
"397","Adgrg2",7
"398","Adgrg6",4
"399","Adgrl4",1
"400","Adh5",2
"401","Adi1",2
"402","Adipor1",9
"403","Adipor2",1
"404","Adk",4
"405","Adm",1
"406","Adm2",9
"407","Ado",3
"408","Adora1",1
"409","Adora2a",4
"410","Adpgk",3
"411","Adprhl1",1
"412","Adprhl2",5
"413","Adra1b",6
"414","Adra1d",4
"415","Adra2c",4
"416","Adrbk1",8
"417","Adrbk2",7
"418","Adss",5
"419","Adssl1",1
"420","Aebp1",7
"421","Aebp2",2
"422","Aen",5
"423","Aes",1
"424","AF529169",4
"425","Afap1",9
"426","Afap1l1",1
"427","Afap1l2",4
"428","Aff1",9
"429","Aff2",9
"430","Afg3l2",4
"431","Afmid",4
"432","Afp",4
"433","Aftph",5
"434","Aga",4
"435","Agap1",2
"436","Agap2",8
"437","Agap3",8
"438","Agbl2",4
"439","Ager",5
"440","Agfg2",1
"441","Aggf1",9
"442","Agl",1
"443","Ago1",5
"444","Agpat1",7
"445","Agpat3",4
"446","Agpat5",4
"447","Agpat9",8
"448","Agps",5
"449","Agtpbp1",5
"450","Agtrap",1
"451","Ahctf1",5
"452","Ahcyl1",6
"453","Ahdc1",2
"454","Ahi1",5
"455","Ahnak",5
"456","Ahsa2",4
"457","AI182371",1
"458","AI197445",5
"459","AI317395",4
"460","AI414108",5
"461","AI429214",2
"462","AI464131",4
"463","AI504432",5
"464","AI506816",5
"465","AI597479",5
"466","AI661453",2
"467","AI839979",7
"468","AI846148",3
"469","AI987944",4
"470","Aida",5
"471","Aifm1",4
"472","Aifm2",1
"473","Aig1",4
"474","Aim1",5
"475","Aim1l",5
"476","Aim2",5
"477","Airn",7
"478","Ajap1",5
"479","Ajuba",5
"480","Ak1",1
"481","Ak3",4
"482","Ak4",6
"483","Akap1",4
"484","Akap13",4
"485","Akap17b",7
"486","Akap2",7
"487","Akap5",7
"488","Akap6",1
"489","Akap7",2
"490","Akap8",3
"491","Akirin1",7
"492","Akirin2",7
"493","Akna",5
"494","Akr1a1",4
"495","Akr1b10",1
"496","Akr7a5",3
"497","Akt1",1
"498","Akt2",4
"499","Alad",3
"500","Alas1",1
"501","Alcam",1
"502","Aldh16a1",3
"503","Aldh18a1",5
"504","Aldh1a2",2
"505","Aldh1a3",1
"506","Aldh1b1",4
"507","Aldh1l1",2
"508","Aldh1l2",1
"509","Aldh2",5
"510","Aldh3b1",6
"511","Aldh5a1",4
"512","Aldh6a1",7
"513","Aldh9a1",3
"514","Aldoa",4
"515","Aldoart1",1
"516","Aldoc",4
"517","Alg10b",5
"518","Alg13",3
"519","Alg14",4
"520","Alg2",7
"521","Alg6",5
"522","Alg8",5
"523","Alg9",4
"524","Alk",8
"525","Alkbh1",3
"526","Alkbh3",4
"527","Alkbh5",4
"528","Alkbh6",8
"529","Alkbh7",1
"530","Alms1",5
"531","Alox15",5
"532","Alox8",7
"533","Alpk2",7
"534","Als2",8
"535","Als2cl",8
"536","Alx1",5
"537","Alx4",6
"538","Alyref",3
"539","Alyref2",1
"540","Amacr",4
"541","Ambra1",5
"542","Amer1",5
"543","Amer2",5
"544","Amer3",3
"545","Amhr2",2
"546","Amigo2",5
"547","Ammecr1",1
"548","Amot",8
"549","Amotl2",5
"550","Ampd3",4
"551","Amph",5
"552","Amz2",2
"553","Anapc2",5
"554","Anapc7",4
"555","Angel2",8
"556","Angpt1",1
"557","Angpt2",1
"558","Angptl2",4
"559","Angptl4",4
"560","Ank",1
"561","Ank1",4
"562","Ank2",2
"563","Ank3",1
"564","Ankhd1",5
"565","Ankib1",9
"566","Ankle1",8
"567","Ankmy2",4
"568","Ankrd1",1
"569","Ankrd10",2
"570","Ankrd11",5
"571","Ankrd13a",7
"572","Ankrd13c",1
"573","Ankrd13d",3
"574","Ankrd16",5
"575","Ankrd24",1
"576","Ankrd26",5
"577","Ankrd27",5
"578","Ankrd28",5
"579","Ankrd29",4
"580","Ankrd33b",7
"581","Ankrd34a",4
"582","Ankrd37",4
"583","Ankrd40",1
"584","Ankrd42",5
"585","Ankrd46",4
"586","Ankrd49",2
"587","Ankrd50",5
"588","Ankrd9",1
"589","Anks1",5
"590","Anks1b",2
"591","Anks6",8
"592","Ankzf1",4
"593","Ano10",4
"594","Ano5",5
