combat_D8_unique,DESeq2_D8_unique
NA,Tmem260
NA,Tmpo
NA,Tnfrsf25
NA,Tonsl
NA,Top1
NA,Top2b
NA,Tpbg
NA,Tpgs2
NA,Tra2a
NA,Traf5
NA,Trim36
NA,Trp53bp1
NA,Trp53bp2
NA,Tsc2
NA,Tshz1
NA,Tspan11
NA,Tstd2
NA,Ttc26
NA,Tub
NA,Uba2
NA,Ube2a
NA,Ube2d2a
NA,Ube2e3
NA,Ube2i
NA,Ube2k
NA,Ube2w
NA,Ubp1
NA,Ubxn2b
NA,Unc5c
NA,Unc5d
NA,Vegfc
NA,Vstm4
NA,Wdr6
NA,Whsc1
NA,Wnk4
NA,Wwp2
NA,Zbed4
NA,Zbtb10
NA,Zbtb49
NA,Zc2hc1a
NA,Zcwpw1
NA,Zdhhc20
NA,Zdhhc21
NA,Zfp105
NA,Zfp160
NA,Zfp207
NA,Zfp26
NA,Zfp28
NA,Zfp300
NA,Zfp384
NA,Zfp410
NA,Zfp518a
NA,Zfp518b
NA,Zfp57
NA,Zfp592
NA,Zfp638
NA,Zfp69
NA,Zfp746
NA,Zfp760
NA,Zfp781
NA,Zfp846
NA,Zfp879
NA,Zfp90
NA,Zgrf1
NA,Zhx1
NA,Zik1
NA,Zmym1
NA,Zmym4
NA,Zscan18
NA,Zscan21
NA,Zswim4
NA,Zzz3
