combat_D8_unique,DESeq2_D8_unique
AI854517,1700008J07Rik
Ajap1,1700113A16Rik
Arg2,1810030O07Rik
Asic2,2010111I01Rik
B3gat1,2410002F23Rik
Cacng5,2700038G22Rik
Cfap221,2810408A11Rik
Crhr1,2810410L24Rik
Cytl1,4932416H05Rik
Fgf17,5730559C18Rik
Gm11201,6030419C18Rik
Gm13546,6330408A02Rik
Grin3b,9430015G10Rik
Lct,A230072C01Rik
Rasgef1c,A830010M20Rik
Rassf9,Aard
Sstr2,Aass
Syt10,Ace
Zfp663,Acot7
NA,Adam19
NA,Adam8
NA,Adamts20
NA,Adcy4
NA,Add2
NA,Adgra2
NA,Ado
NA,Afap1l2
NA,Agbl3
NA,Ahi1
NA,AI846148
NA,Aim1
NA,Angel2
NA,Ankrd13d
NA,Ankrd50
NA,Ano5
NA,Ano6
NA,Apmap
NA,Arglu1
NA,Arhgef40
NA,Arl6
NA,Armc9
NA,Asb1
NA,Asf1a
NA,Atf2
NA,Atf7ip2
NA,Atp7a
NA,Atxn7l3
NA,Atxn7l3b
NA,Axin2
NA,B3galt1
NA,B3galt6
NA,B3glct
NA,B4galt2
NA,Baz1b
NA,Bbs1
NA,Bbs12
NA,Bclaf1
NA,Bend3
NA,Bet1
NA,Bmi1
NA,Bnip2
NA,Brms1l
NA,Brpf3
NA,Btbd9
NA,Bzrap1
NA,Bzw1
NA,Calm2
NA,Casc3
NA,Casp2
NA,Cbfa2t2
NA,Cbx1
NA,Ccar2
NA,Ccdc102a
NA,Ccdc120
NA,Ccdc13
NA,Ccdc157
NA,Ccdc30
NA,Ccdc91
NA,Ccp110
NA,Cd82
NA,Cdc14a
NA,Cdc42ep4
NA,Cdc5l
NA,Cdh11
NA,Cdo1
NA,Cebpg
NA,Cep250
NA,Cep290
NA,Cep72
NA,Cep76
NA,Cep78
NA,Chmp5
NA,Chrd
NA,Chst2
NA,Cklf
NA,Clip2
NA,Cmc4
NA,Cmtm4
NA,Cnot10
NA,Cntln
NA,Cntrob
NA,Col11a2
NA,Col1a2
NA,Col25a1
NA,Cotl1
NA,Cpsf7
NA,Crispld1
NA,Csnk1e
NA,Csrp2
NA,Ctcf
NA,Ctxn1
NA,D3Ertd751e
NA,D430019H16Rik
NA,D630045J12Rik
NA,D930016D06Rik
NA,Dhx15
NA,Dhx40
NA,Dhx57
NA,Dio3os
NA,Dlg3
NA,Dlgap3
NA,Dnajc3
NA,Dnal4
NA,Dnm1
NA,Dock1
NA,Dok4
NA,Dopey2
NA,Dpf2
NA,Dscc1
NA,Dusp9
NA,Dvl2
NA,Dync1i2
NA,E2f6
NA,Eaf1
NA,Ebf1
NA,Echdc3
NA,Efna4
NA,Eif4e
NA,Elavl1
NA,Elovl2
NA,Elp2
NA,Elp6
NA,Emilin1
NA,Eml3
NA,Epc1
NA,Epc2
NA,Erlin1
NA,Esyt1
NA,Etaa1
NA,Ewsr1
NA,Exo5
NA,Ezh2
NA,Fadd
NA,Faim
NA,Fam101b
NA,Fam109a
NA,Fam133b
NA,Fam171a2
NA,Fam172a
NA,Fam206a
NA,Fam210b
NA,Fam222a
NA,Fam227a
NA,Fam83d
NA,Farp1
NA,Fblim1
NA,Fcho1
NA,Fchsd1
NA,Fndc3c1
NA,Foxp2
NA,Foxp4
NA,Frem1
NA,Frmd4b
NA,Fsd1
NA,Fsd1l
NA,Fus
NA,Fzd3
NA,Galnt4
NA,Garnl3
NA,Gas2l1
NA,Gas8
NA,Gata5
NA,Gfra2
NA,Gid8
NA,Gli1
NA,Gli3
NA,Glyr1
NA,Gm13375
NA,Gm14827
NA,Gm1673
NA,Gm16845
NA,Gm266
NA,Gm3500
NA,Gm5141
NA,Gm8801
NA,Gmcl1
NA,Gngt2
NA,Gpbp1
NA,Gpc3
NA,Gprasp1
NA,Grid2
NA,Grrp1
NA,Gtf2e1
NA,Gtf2h3
NA,Gtf3c4
NA,H1f0
NA,H2afv
NA,H2afy
NA,H2afz
NA,Hand2
NA,Hdac1
NA,Hdac6
NA,Hdgfrp3
NA,Hes1
NA,Heyl
NA,Hhip
NA,Hic2
NA,Hip1
NA,Hipk4
NA,Hjurp
NA,Hmces
NA,Hmgb1
NA,Hnrnpa0
NA,Hnrnpa2b1
NA,Hnrnph3
NA,Hnrnpu
NA,Hvcn1
NA,Hyou1
NA,Id1
NA,Ier2
NA,Ifi27
NA,Ift22
NA,Ift27
NA,Ift74
NA,Ift88
NA,Igsf3
NA,Il15
NA,Ilf2
NA,Inafm2
NA,Ing5
NA,Irak2
NA,Irx3
NA,Irx5
NA,Isg20l2
NA,Ism2
NA,Itpkc
NA,Jdp2
NA,Kbtbd8
NA,Kctd12b
NA,Khdrbs1
NA,Kit
NA,Klc2
NA,Klhdc8b
NA,Klhl25
NA,Lats2
NA,Ldlrad3
NA,Ldoc1l
NA,Lin7c
NA,Lmtk3
NA,Lpar6
NA,Lppr3
NA,Lrfn3
NA,Lrp12
NA,Lrp3
NA,Lrp4
NA,Lrrc18
NA,Lrrc75b
NA,Ly75
NA,Lzts3
NA,Maged1
NA,Mageh1
NA,Map2
NA,Mat2a
NA,Mbip
NA,Mcm4
NA,Mcm6
NA,Mecom
NA,Med19
NA,Med22
NA,Med7
NA,Meis3
NA,Metrn
NA,Mfap4
NA,Mgat3
NA,Mme
NA,Morn4
NA,Mpped1
NA,Msi1
NA,Mst1r
NA,Mtfr1
NA,Mtfr1l
NA,Mtmr4
NA,Mtx3
NA,Mum1
NA,Natd1
NA,Ncoa5
NA,Ncs1
NA,Ndnf
NA,Nek8
NA,Nkd2
NA,Nkrf
NA,Nlk
NA,Nlrp5-ps
NA,Nmb
NA,Nnat
NA,Nptx1
NA,Nr1h5
NA,Nr2f2
NA,Nrep
NA,Ntng1
NA,Nucks1
NA,Nup62cl
NA,Nxph3
NA,Ofd1
NA,Oprl1
NA,Orai2
NA,Papd7
NA,Pard3b
NA,Parp1
NA,Pask
NA,Pbx2
NA,Pcdhb11
NA,Pcdhb18
NA,Pcdhb21
NA,Pcdhga1
NA,Pcdhga5
NA,Pcdhga7
NA,Pcdhgb4
NA,Pcdhgb5
NA,Pcdhgb7
NA,Pced1b
NA,Pcgf2
NA,Pdcl
NA,Pde1c
NA,Pde5a
NA,Pdgfra
NA,Pdgfrb
NA,Pds5b
NA,Pear1
NA,Peg10
NA,Peli1
NA,Phf14
NA,Phf2
NA,Phlpp2
NA,Pi4k2a
NA,Pi4k2b
NA,Pid1
NA,Pip4k2b
NA,Pip5k1c
NA,Pitpnc1
NA,Pla2g4b
NA,Plekha6
NA,Plekhd1
NA,Plekhh2
NA,Plvap
NA,Plxna3
NA,Pogz
NA,Pole4
NA,Ppfia1
NA,Ppfibp2
NA,Ppil4
NA,Ppp1r13b
NA,Ppp1r8
NA,Ppp2r5e
NA,Prex1
NA,Prkce
NA,Prkd3
NA,Prkrir
NA,Prodh
NA,Prokr2
NA,Prom1
NA,Proser3
NA,Prr12
NA,Psmd10
NA,Psmf1
NA,Ptbp3
NA,Ptch2
NA,Ptger4
NA,Pth1r
NA,Ptpn5
NA,Ptprf
NA,Ptx4
NA,Pygo1
NA,Rabl2
NA,Rala
NA,Ranbp9
NA,Rasgrp1
NA,Rbbp4
NA,Rbbp8
NA,Rbl1
NA,Rbm22
NA,Rbm25
NA,Rbm34
NA,Rbm4b
NA,Rbms3
NA,Rbp1
NA,Rbp3
NA,Rcc2
NA,Rdh10
NA,Rgs20
NA,Rgs5
NA,Rn45s
NA,Rnd2
NA,Rnf114
NA,Rnf144a
NA,Rnf215
NA,Rnf24
NA,Rnft2
NA,Rprm
NA,Rragb
NA,Rspo1
NA,Rtf1
NA,Rundc3a
NA,Runx1t1
NA,Rybp
NA,Sass6
NA,Scara3
NA,Sec22c
NA,Sema4c
NA,Sept3
NA,Setdb1
NA,Sfxn5
NA,Sgip1
NA,Sgpp1
NA,Sh3pxd2b
NA,Shank1
NA,Shf
NA,Shroom3
NA,Siah1a
NA,Sirt1
NA,Skp2
NA,Slc26a8
NA,Slit2
NA,Smarcad1
NA,Smarcd1
NA,Snai2
NA,Snip1
NA,Snx10
NA,Snx6
NA,Socs3
NA,Sowahb
NA,Spast
NA,Spg20
NA,Spred1
NA,Srpx2
NA,Srsf1
NA,Srsf6
NA,Ss18l1
NA,St6galnac2
NA,Stac
NA,Stau1
NA,Stim2
NA,Stk38
NA,Stox2
NA,Syne1
NA,Syt1
NA,Tada1
NA,Tbc1d19
NA,Tbcb
NA,Tchp
NA,Tesk1
NA,Tesk2
NA,Th
NA,Thrap3
NA,Tia1
NA,Timeless
NA,Tmem110
NA,Tmem194b
NA,Tmem216
